flow_info: flow_psh, fpkts_per_second, total_bhlen, flow_iat_max, backward_packet_length_max, forward_iat_std, total_length_of_forward_packets, backward_packet_length_std, forward_iat_min, total_fhlen, total_length_of_backward_packets, total_backward_packets, forward_iat_max, forward_packet_length_mean, backward_iat_min, flow_iat_min, backward_packet_length_min, flow_syn, bpkts_per_second, flow_protocol, forward_iat_total, forward_packet_length_min, backward_iat_max, flow_iat_total, flow_urg, flow_fin, flow_ece, forward_packet_length_std, backward_packet_length_mean, flow_iat_std, flow_ack, backward_iat_total, backward_iat_mean, flow_rst, total_forward_packets, flow_packets_per_second, backward_iat_std, flow_cwr, forward_iat_mean, flow_iat_mean, forward_packet_length_max: serial: start_time, end_time: attack_label: infection_label: reconnaissance_label: attack_labeled: infection_labeled: reconnaissance_labeled: benign_probability: attack_probability: infection_probability: reconnaissance_probability
127.0.0.1/9020-127.0.0.2/9784: 0, 62.0, 1674, 0.021180391311645508, 66, 0.01, 90148, 0.0, 5.221366882324219e-05, 135, 330, 5, 0.021180391311645508, 1454.0, 0.012601613998413086, 5.221366882324219e-05, 66, 0, 5.0, 6, 0.5305910110473633, 1454, 0.019315481185913086, 0.5965969562530518, 0, 0, 0, 0.0, 66.0, 0.01, 67, 0.05729174613952637, 0.01, 0, 62, 67.0, 0.01, 0, 0.01, 0.01, 1454: 1: 1716507798.1, 1716507799.1: 0: 0: 0: 0: 0: 0: 0.4753668864186713: 0.1748777045271095: 0.1748777045271095: 0.1748777045271097
127.0.0.1/9020-127.0.0.2/9784: 0, 164.0, 4428, 0.04324054718017578, 66, 0.02, 238472, 0.0, 0.00019121170043945312, 135, 330, 5, 0.04324054718017578, 1454.0975609756097, 6.0558319091796875e-05, 0.00019121170043945312, 66, 0, 5.0, 6, 4.824641227722168, 1454, 0.02719593048095703, 4.93018364906311, 0, 0, 0, 0.62, 66.0, 0.02, 169, 0.034081220626831055, 0.01, 0, 164, 169.0, 0.01, 0, 0.03, 0.03, 1458: 2: 1716507798.1, 1716507799.1: 0: 0: 0: 0: 0: 0: 0.4753668864186101: 0.17487770452711918: 0.17487770452711918: 0.17487770452715157
127.0.0.1/9020-127.0.0.2/9784: 0, 163.0, 4401, 0.04304933547973633, 66, 0.02, 237018, 0.0, 6.699562072753906e-05, 108, 264, 4, 0.04304933547973633, 1454.0981595092026, 5.030632019042969e-05, 6.699562072753906e-05, 66, 0, 4.0, 6, 4.793473720550537, 1454, 0.027135372161865234, 4.883959054946899, 0, 0, 0, 0.62, 66.0, 0.02, 167, 0.03383898735046387, 0.01, 0, 163, 167.0, 0.01, 0, 0.03, 0.03, 1458: 3: 1716507798.1, 1716507799.1: 0: 0: 0: 0: 0: 0: 0.4753668864186162: 0.1748777045271182: 0.1748777045271182: 0.17487770452714743
127.0.0.1/9020-127.0.0.2/9784: 0, 245.0, 6615, 0.08376216888427734, 66, 0.03, 356246, 0.0, 4.1961669921875e-05, 486, 1188, 18, 0.08376216888427734, 1454.0653061224489, 0.0066030025482177734, 4.1961669921875e-05, 66, 0, 18.0, 6, 11.66113018989563, 1454, 0.06896662712097168, 12.982053756713867, 0, 0, 0, 0.51, 66.0, 0.03, 263, 1.0663154125213623, 0.06, 0, 245, 263.0, 0.02, 0, 0.05, 0.05, 1458: 4: 1716507798.2, 1716507799.2: 0: 0: 0: 0: 0: 0: 0.4753668864182787: 0.17487770452717155: 0.17487770452717155: 0.17487770452737822
127.0.0.1/9020-127.0.0.2/9784: 2, 330.0, 8910, 0.17928051948547363, 66, 0.06, 477346, 0.0, 3.9577484130859375e-05, 540, 1320, 20, 0.17928051948547363, 1446.5030303030303, 0.02048206329345703, 3.9577484130859375e-05, 66, 0, 20.0, 6, 26.480937004089355, 209, 0.15831732749938965, 28.30795121192932, 0, 0, 0, 96.63, 66.0, 0.06, 350, 1.4128954410552979, 0.07, 0, 330, 350.0, 0.04, 0, 0.08, 0.08, 1458: 5: 1716507798.3, 1716507799.3: 0: 0: 0: 0: 0: 0: 0.475366333939074: 0.17487805433718706: 0.17487779196559142: 0.17487781975814762
127.0.0.1/9020-127.0.0.2/9784: 15, 371.0, 10017, 0.22443866729736328, 66, 0.07, 523742, 0.0, 6.985664367675781e-05, 864, 2112, 32, 0.22010540962219238, 1411.7035040431267, 0.04162335395812988, 6.985664367675781e-05, 66, 0, 32.0, 6, 35.4173321723938, 96, 0.1832902431488037, 40.01939010620117, 0, 0, 0, 230.46, 66.0, 0.07, 403, 3.285308361053467, 0.1, 0, 371, 403.0, 0.06, 0, 0.1, 0.1, 1458: 6: 1716507798.3, 1716507799.3: 0: 0: 0: 0: 0: 0: 0.475366867696099: 0.17487771514197728: 0.174877708169688: 0.17487770899223576
127.0.0.3/80-127.0.0.4/3167: 8, 51.0, 1377, 0.011452198028564453, -1, 0.0, 72294, -1, 0.00023555755615234375, 0, 0, 0, 0.011452198028564453, 1417.5294117647059, 99999, 0.00023555755615234375, -1, 0, 0.0, 6, 0.37643933296203613, 66, -1, 0.37643933296203613, 0, 0, 0, 251.98, 0, 0.0, 51, 0, -1, 0, 51, 51.0, -1, 0, 0.01, 0.01, 1514: 7: 1716507798.3, 1716507799.3: 0: 0: 0: 0: 0: 0: 0.4753655530245071: 0.1748779152428727: 0.17487791524287258: 0.17487861648974765
127.0.0.8/5752-127.0.0.1/23: 0, 1.0, 24, -1, -1, 0.0, 54, -1, 99999, 0, 0, 0, -1, 54.0, 99999, 99999, -1, 0, 0.0, 6, 0, 54, -1, 0, 0, 0, 0, 0.0, 0, 0.0, 1, 0, -1, 0, 1, 1.0, -1, 0, 0.0, 0.0, 54: 8: 1716507798.3, 1716507799.3: 0: 1: 0: 0: 1: 0: 0.17438879106423685: 0.18549238785680155: 0.4669829342276848: 0.1731358868512769
127.0.0.8/5753-127.0.0.1/23: 0, 1.0, 24, -1, -1, 0.0, 54, -1, 99999, 0, 0, 0, -1, 54.0, 99999, 99999, -1, 0, 0.0, 6, 0, 54, -1, 0, 0, 0, 0, 0.0, 0, 0.0, 1, 0, -1, 0, 1, 1.0, -1, 0, 0.0, 0.0, 54: 9: 1716507798.3, 1716507799.3: 0: 1: 0: 0: 1: 0: 0.17438879106423685: 0.18549238785680155: 0.4669829342276848: 0.1731358868512769
127.0.0.1/9020-127.0.0.2/9784: 15, 370.0, 9990, 0.22436881065368652, 66, 0.07, 522288, 0.0, 0.00019741058349609375, 837, 2046, 31, 0.22003555297851562, 1411.5891891891893, 1.6927719116210938e-05, 0.00019741058349609375, 66, 0, 31.0, 6, 35.3914852142334, 96, 0.14166688919067383, 39.95022916793823, 0, 0, 0, 230.76, 66.0, 0.07, 401, 1.9949843883514404, 0.06, 0, 370, 401.0, 0.06, 0, 0.1, 0.1, 1458: 10: 1716507798.3, 1716507799.3: 0: 0: 0: 0: 0: 0: 0.47536686267430417: 0.17487771797850754: 0.1748777090518924: 0.17487771029529592
