flow_info: flow_psh, fpkts_per_second, total_bhlen, flow_iat_max, backward_packet_length_max, forward_iat_std, total_length_of_forward_packets, backward_packet_length_std, forward_iat_min, total_fhlen, total_length_of_backward_packets, total_backward_packets, forward_iat_max, forward_packet_length_mean, backward_iat_min, flow_iat_min, backward_packet_length_min, flow_syn, bpkts_per_second, flow_protocol, forward_iat_total, forward_packet_length_min, backward_iat_max, flow_iat_total, flow_urg, flow_fin, flow_ece, forward_packet_length_std, backward_packet_length_mean, flow_iat_std, flow_ack, backward_iat_total, backward_iat_mean, flow_rst, total_forward_packets, flow_packets_per_second, backward_iat_std, flow_cwr, forward_iat_mean, flow_iat_mean, forward_packet_length_max: serial: start_time, end_time: attack_label: infection_label: reconnaissance_label: attack_labeled: infection_labeled: reconnaissance_labeled: benign_probability: attack_probability: infection_probability: reconnaissance_probability
127.0.0.1/9020-127.0.0.2/9784: 0, 8.0, 216, 0.01710367202758789, -1, 0.01, 11632, -1, 0.005337953567504883, 0, 0, 0, 0.01710367202758789, 1454.0, 99999, 0.005337953567504883, -1, 0, 0.0, 6, 0.06323552131652832, 1454, -1, 0.06323552131652832, 0, 0, 0, 0.0, 0, 0.01, 8, 0, -1, 0, 8, 8.0, -1, 0, 0.01, 0.01, 1454: 1: 1716506174.1, 1716506175.1: 0: 0: 0: 0: 0: 0: 0.4753668864186717: 0.17487770452710943: 0.17487770452710943: 0.17487770452710943
127.0.0.1/9020-127.0.0.2/9784: 0, 82.0, 2214, 0.020954132080078125, 66, 0.0, 119228, 0.0, 0.0005142688751220703, 135, 330, 5, 0.020954132080078125, 1454.0, 0.0010120868682861328, 0.0005142688751220703, 66, 0, 5.0, 6, 1.5204005241394043, 1454, 0.0014374256134033203, 1.6202936172485352, 0, 0, 0, 0.0, 66.0, 0.0, 87, 0.0045244693756103516, 0.0, 0, 82, 87.0, 0.0, 0, 0.02, 0.02, 1454: 2: 1716506174.2, 1716506175.2: 0: 0: 0: 0: 0: 0: 0.4753668864186716: 0.1748777045271095: 0.1748777045271095: 0.17487770452710957
127.0.0.1/9020-127.0.0.2/9784: 0, 163.0, 4401, 0.03813052177429199, 66, 0.01, 237018, 0.0, 9.322166442871094e-05, 135, 330, 5, 0.03813052177429199, 1454.0981595092026, 1.6927719116210938e-05, 9.322166442871094e-05, 66, 0, 5.0, 6, 4.480837106704712, 1454, 0.016215801239013672, 4.595386743545532, 0, 0, 0, 0.62, 66.0, 0.01, 168, 0.016691923141479492, 0.0, 0, 163, 168.0, 0.01, 0, 0.03, 0.03, 1458: 3: 1716506174.2, 1716506175.2: 0: 0: 0: 0: 0: 0: 0.4753668864186419: 0.17487770452711415: 0.17487770452711415: 0.17487770452712986
127.0.0.1/9020-127.0.0.2/9784: 0, 162.0, 4374, 0.03803730010986328, 66, 0.01, 235564, 0.0, 7.390975952148438e-05, 108, 264, 4, 0.03803730010986328, 1454.0987654320988, 1.6927719116210938e-05, 7.390975952148438e-05, 66, 0, 4.0, 6, 4.465735197067261, 1454, 0.01619887351989746, 4.560340404510498, 0, 0, 0, 0.62, 66.0, 0.01, 166, 0.01662421226501465, 0.0, 0, 162, 166.0, 0.01, 0, 0.03, 0.03, 1458: 4: 1716506174.2, 1716506175.2: 0: 0: 0: 0: 0: 0: 0.4753668864186455: 0.17487770452711357: 0.17487770452711357: 0.1748777045271274
127.0.0.1/9020-127.0.0.2/9784: 0, 244.0, 6588, 0.08025503158569336, 66, 0.03, 354792, 0.0, 9.393692016601562e-05, 486, 1188, 18, 0.08025503158569336, 1454.0655737704917, 0.0003914833068847656, 9.393692016601562e-05, 66, 0, 18.0, 6, 11.026798248291016, 1454, 0.06009936332702637, 12.291802883148193, 0, 0, 0, 0.51, 66.0, 0.03, 262, 0.9151158332824707, 0.05, 0, 244, 262.0, 0.02, 0, 0.05, 0.05, 1458: 5: 1716506174.2, 1716506175.2: 0: 0: 0: 0: 0: 0: 0.47536688641840164: 0.17487770452715212: 0.17487770452715212: 0.17487770452729415
127.0.0.1/9020-127.0.0.2/9784: 2, 329.0, 8883, 0.18605899810791016, 66, 0.06, 475892, 0.0, 0.010750293731689453, 540, 1320, 20, 0.18605899810791016, 1446.4802431610942, 0.015790462493896484, 0.010750293731689453, 66, 0, 20.0, 6, 25.87669587135315, 209, 0.16617918014526367, 27.644213914871216, 0, 0, 0, 96.78, 66.0, 0.06, 349, 1.3728017807006836, 0.07, 0, 329, 349.0, 0.04, 0, 0.08, 0.08, 1458: 6: 1716506174.3, 1716506175.3: 0: 0: 0: 0: 0: 0: 0.47536681408978465: 0.174877737465123: 0.17487771618952264: 0.1748777322555697
127.0.0.1/9020-127.0.0.2/9784: 15, 370.0, 9990, 0.21433663368225098, 66, 0.07, 522288, 0.0, 0.00024008750915527344, 864, 2112, 32, 0.21404314041137695, 1411.5891891891893, 0.04350996017456055, 0.00024008750915527344, 66, 0, 32.0, 6, 30.766507625579834, 96, 0.1895606517791748, 34.93731093406677, 0, 0, 0, 230.76, 66.0, 0.07, 402, 3.377971887588501, 0.11, 0, 370, 402.0, 0.07, 0, 0.08, 0.09, 1458: 7: 1716506174.4, 1716506175.4: 0: 0: 0: 0: 0: 0: 0.47536687041382053: 0.17487771085057266: 0.17487771109792177: 0.1748777076376852
127.0.0.3/80-127.0.0.4/3167: 8, 51.0, 1377, 0.01778125762939453, -1, 0.0, 72294, -1, 0.00017452239990234375, 0, 0, 0, 0.01778125762939453, 1417.5294117647059, 99999, 0.00017452239990234375, -1, 0, 0.0, 6, 0.817495584487915, 66, -1, 0.817495584487915, 0, 0, 0, 251.98, 0, 0.0, 51, 0, -1, 0, 51, 51.0, -1, 0, 0.02, 0.02, 1514: 8: 1716506174.4, 1716506175.4: 0: 0: 0: 0: 0: 0: 0.47536682988473555: 0.17487771346117398: 0.17487771346117398: 0.17487774319291643
127.0.0.8/5752-127.0.0.1/23: 0, 1.0, 24, -1, -1, 0.0, 54, -1, 99999, 0, 0, 0, -1, 54.0, 99999, 99999, -1, 0, 0.0, 6, 0, 54, -1, 0, 0, 0, 0, 0.0, 0, 0.0, 1, 0, -1, 0, 1, 1.0, -1, 0, 0.0, 0.0, 54: 9: 1716506174.4, 1716506175.4: 0: 1: 0: 0: 1: 0: 0.16774542191372369: 0.21268609201867233: 0.45238579201348683: 0.1671826940541172
127.0.0.8/5753-127.0.0.1/23: 0, 1.0, 24, -1, -1, 0.0, 54, -1, 99999, 0, 0, 0, -1, 54.0, 99999, 99999, -1, 0, 0.0, 6, 0, 54, -1, 0, 0, 0, 0, 0.0, 0, 0.0, 1, 0, -1, 0, 1, 1.0, -1, 0, 0.0, 0.0, 54: 10: 1716506174.4, 1716506175.4: 0: 1: 0: 0: 1: 0: 0.16774542191372369: 0.21268609201867233: 0.45238579201348683: 0.1671826940541172
127.0.0.1/9020-127.0.0.2/9784: 15, 369.0, 9963, 0.2140965461730957, 66, 0.07, 520834, 0.0, 0.006341695785522461, 837, 2046, 31, 0.21380305290222168, 1411.4742547425474, 1.8596649169921875e-05, 0.006341695785522461, 66, 0, 31.0, 6, 30.677915334701538, 96, 0.14605069160461426, 34.81649994850159, 0, 0, 0, 231.06, 66.0, 0.07, 400, 2.029163122177124, 0.07, 0, 369, 400.0, 0.06, 0, 0.08, 0.09, 1458: 11: 1716506174.4, 1716506175.4: 0: 0: 0: 0: 0: 0: 0.47536686629733577: 0.17487771293539317: 0.174877712231687: 0.1748777085355843
127.0.0.3/80-127.0.0.4/3167: 8, 50.0, 1350, 0.017606735229492188, -1, 0.0, 72228, -1, 0.010595560073852539, 0, 0, 0, 0.017606735229492188, 1444.56, 99999, 0.010595560073852539, -1, 0, 0.0, 6, 0.8087694644927979, 1018, -1, 0.8087694644927979, 0, 0, 0, 165.83, 0, 0.0, 50, 0, -1, 0, 50, 50.0, -1, 0, 0.02, 0.02, 1514: 12: 1716506174.4, 1716506175.4: 0: 0: 0: 0: 0: 0: 0.4753668864186655: 0.17487770452711043: 0.17487770452711043: 0.17487770452711368
127.0.0.1/9020-127.0.0.2/9784: 15, 368.0, 9936, 0.20775485038757324, 66, 0.07, 519380, 0.0, 0.00010251998901367188, 810, 1980, 30, 0.20746135711669922, 1411.358695652174, 1.6927719116210938e-05, 0.00010251998901367188, 66, 0, 30.0, 6, 28.344171285629272, 96, 0.14603209495544434, 32.224459171295166, 0, 0, 0, 231.37, 66.0, 0.07, 398, 2.0286052227020264, 0.07, 0, 368, 398.0, 0.06, 0, 0.08, 0.08, 1458: 13: 1716506174.5, 1716506175.5: 0: 0: 0: 0: 0: 0: 0.47536686558377084: 0.1748777135838357: 0.17487771199826588: 0.17487770883412757
127.0.0.3/80-127.0.0.4/3167: 8, 49.0, 1323, 0.0070111751556396484, -1, 0.0, 70714, -1, 9.679794311523438e-05, 0, 0, 0, 0.0070111751556396484, 1443.142857142857, 99999, 9.679794311523438e-05, -1, 0, 0.0, 6, 0.28958702087402344, 1018, -1, 0.28958702087402344, 0, 0, 0, 167.21, 0, 0.0, 49, 0, -1, 0, 49, 49.0, -1, 0, 0.01, 0.01, 1514: 14: 1716506174.5, 1716506175.5: 0: 0: 0: 0: 0: 0: 0.4753668864186671: 0.17487770452711016: 0.17487770452711016: 0.17487770452711263
